Known,Open,F1-score,Accuracy,dataset,known_cls_ratio,labeled_ratio,seed
68.3511,44.6043,67.9486,62.73,banking,0.75,1,0
72.1784,0,71.2531,69.97,banking,1,1,0
83.1016,63.354,82.7669,77.86,banking,0.75,0.75,0
83.5989,64.3789,83.2731,78.47,banking,0.75,0.75,0
68.5656,44.9438,68.1652,63.05,banking,0.75,1,0
36.923,0,36.4496,33.02,banking,1,1,0
36.923,0,36.4496,33.02,banking,1,1,0
90.197,0,89.0364,86.59,banking,1,1,0
69.1466,76.2341,67.0112,72.01,banking,0.25,0.5,0
71.6709,78.1758,69.2138,74.63,banking,0.25,0.5,0
73.1942,85.5612,72.8561,80.75,banking,0.25,0.5,0
73.1942,85.5612,72.8561,80.75,banking,0.25,0.5,0
64.0139,61.9137,63.1742,60.59,banking,0.5,0.5,0
83.9635,81.4324,83.0243,80.77,banking,0.5,0.5,0
83.9635,81.4324,83.0243,80.77,banking,0.5,0.5,0
88.0154,68.5624,87.3432,83.15,banking,0.75,0.5,0