ACC,ARI,NMI,dataset,method,known_cls_ratio,labeled_ratio,topk,view_strategy,seed
64.03,53.73,80.7,banking,CLNN,0.0,0.1,50,rtr,0
64.03,53.73,80.7,banking,CLNN,0.0,0.1,50,rtr,0
69.87,59.47,82.84,banking,CLNN,0.75,0.1,10,rtr,0
61.17,50.39,78.68,banking,CLNN,0.75,0.1,10,rtr,0
61.17,50.39,78.68,banking,CLNN,0.75,0.1,10,rtr,0
61.17,50.39,78.68,banking,CLNN,0.75,0.1,10,rtr,0
67.99,58.37,82.98,banking,CLNN,0.5,0.1,20,rtr,0
83.93,75.76,89.89,banking,CLNN,0.75,0.5,20,rtr,0
83.93,75.76,89.89,banking,CLNN,0.75,0.5,20,rtr,0
88.67,82.37,92.47,banking,CLNN,1.0,0.5,20,rtr,0
60.88,50.65,78.65,banking,CLNN,0.0,0.5,10,rtr,0
71.53,63.26,84.76,banking,CLNN,0.75,0.5,10,rtr,0